-71.138365,-73.496855,-74.314465,-77.616352,-80.918239,-77.490566,-82.553459,-500.000000,-500.000000
-71.042683,-73.390244,-74.365854,-77.963415,-80.737805,-77.506098,-82.567073,-500.000000,-500.000000
-70.952663,-73.289941,-74.384615,-78.319527,-80.568047,-77.757396,-82.550296,-500.000000,-500.000000
-70.867816,-73.281609,-74.402299,-78.224138,-80.408046,-77.994253,-82.505747,-500.000000,-500.000000
-70.787709,-73.273743,-74.446927,-78.134078,-80.256983,-77.966480,-82.463687,-500.000000,-500.000000
-70.711957,-73.266304,-74.489130,-78.048913,-80.114130,-77.940217,-82.451087,-500.000000,-500.000000
-70.640212,-73.179894,-74.529101,-77.968254,-79.978836,-78.206349,-82.439153,-500.000000,-500.000000
-70.572165,-73.175258,-74.618557,-77.891753,-79.850515,-78.458763,-82.402062,-500.000000,-500.000000
-70.507538,-73.170854,-74.628141,-77.819095,-79.728643,-78.396985,-82.391960,-500.000000,-500.000000
-70.446078,-73.166667,-74.686275,-77.750000,-79.735294,-78.362745,-82.333333,-500.000000,-500.000000
-81.578616,-76.578616,-74.597484,-80.383648,-79.786164,-80.886792,-90.477987,-500.000000,-500.000000
-81.500000,-76.378049,-74.396341,-80.250000,-79.762195,-80.798780,-90.341463,-500.000000,-500.000000
-81.426036,-76.218935,-74.207101,-80.124260,-79.739645,-80.715976,-90.301775,-500.000000,-500.000000
-81.356322,-76.068966,-74.229885,-80.005747,-79.718391,-80.637931,-90.321839,-500.000000,-500.000000
-81.290503,-75.927374,-74.251397,-80.033520,-79.698324,-80.564246,-90.340782,-500.000000,-500.000000
-81.228261,-75.793478,-74.081522,-80.059783,-79.679348,-80.548913,-90.141304,-500.000000,-500.000000
-81.169312,-75.746032,-73.894180,-79.952381,-79.661376,-80.534392,-89.952381,-500.000000,-500.000000
-81.113402,-75.701031,-73.716495,-79.850515,-79.644330,-80.520619,-89.773196,-500.000000,-500.000000
-81.060302,-75.658291,-73.547739,-79.929648,-79.628141,-80.633166,-89.703518,-500.000000,-500.000000
-81.009804,-75.862745,-73.387255,-80.004902,-79.612745,-80.740196,-89.759804,-500.000000,-500.000000
-93.654088,-91.169811,-94.283019,-71.987421,-89.503145,-84.251572,-87.679245,-90.289308,-100.415094
-93.634146,-91.195122,-94.365854,-71.926829,-89.731707,-84.000000,-87.536585,-90.402439,-100.463415
-93.615385,-91.218935,-94.177515,-71.869822,-89.769231,-83.763314,-87.402367,-90.508876,-100.508876
-93.597701,-91.241379,-94.000000,-71.816092,-89.804598,-83.540230,-87.275862,-90.609195,-100.551724
-93.581006,-91.262570,-93.832402,-71.765363,-89.837989,-83.329609,-87.351955,-90.703911,-100.592179
-93.565217,-91.282609,-93.673913,-71.717391,-89.869565,-83.130435,-87.423913,-90.793478,-100.630435
-93.550265,-91.301587,-93.523810,-71.671958,-89.899471,-82.941799,-87.492063,-90.878307,-100.666667
-93.536082,-91.319588,-93.381443,-71.628866,-89.927835,-82.762887,-87.556701,-90.958763,-100.701031
-93.497487,-91.336683,-93.246231,-71.587940,-89.954774,-82.592965,-87.618090,-91.035176,-100.733668
-93.460784,-91.352941,-93.117647,-71.549020,-89.980392,-82.431373,-87.676471,-91.107843,-100.764706
-90.069182,-88.308176,-87.773585,-76.610063,-88.905660,-86.610063,-68.622642,-500.000000,-500.000000
